_index,_index_f1,start,end,Form 2: This form is regarding water quality and solid waste,Section 1: General information and safety ,safety,team_code,rhs_lhs,location,lat,long,Section 2. The next set of questions will be related to water quality  and stormwater connections. ,inlets,inlets_pic,,unauthorised_inlets,unauthorised_inlets_pic,,observations, water_stagnant,water_contamination,water_colour,water_turbidity,water_smell,water_pic,,Section 3. Next set of questions are about solid waste and clean up efforts.,sw_inside,sw_inside_type,,sw_inside_source,sw_inside_pic,,sw_outside,sw_outside_type,sw_outside_source,sw_outside_pic,,sw_clean_up,community_engagement,community_engagement_pic,,outdated,,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,outdated,_tags,meta/rootUuid,_drain,_drain_secondary,_team_name
_index_old,_index_new,start,end,,,_1_1_Your_safety_is_our_priority,_1_2_Team_code,_1_3_Enter_Right_hand_as_per_the_My_Maps,_1_4_Record_your_curr_lways_select_precise,,,,_2_1_Do_you_see_storm_onnecting_to_the_SWD,_2_2_Take_a_picture_o_r_connections_inlets,,_2_3_Can_you_see_any_ts_connecting_to_SWD,_2_4_Please_take_a_pi_d_connections_inlets,,_2_5_Any_other_observ_tion_please_specify,_2_6_Is_the_water_stagnant_or_flowing,_2_7_Signs_of_contami_n_visible_indicators,_2_8_How_would_you_de_ibe_the_water_colour,_2_9_How_would_you_describe_the_turbidity,_2_10_How_would_you_d_ribe_the_odour_smell,water_turbidity_pic,,,_3_1_Is_there_solid_waste_inside_the_SWD,_3_2_Type_of_solid_wa_Based_on_observation,,_3_3_Likely_source_of_waste,_3_4_Click_an_image_o_waste_inside_the_SWD,,_3_5_Is_there_solid_w_ste_outside_the_SWD,_3_6_Type_of_waste_ou_Based_on_observation,_3_7_Likely_source_of_aste_outside_the_SWD,_3_8_Click_a_image_of_aste_outside_the_SWD,,_3_9_Are_there_signs_of_clean_up_effort,_3_10_Are_there_any_s_community_engagement,_3_11_Please_take_a_p_community_engagement,,Thank_you_for_filling_the_audit_form,_id,_uuid,_submission_time,,_notes,_status,_submitted_by,__version__,_tags,meta/rootUuid,_drain,,_team_name
1,5,2026-01-06T11:35:36.807+05:30,2026-01-06T11:40:46.961+05:30,,,yes__i_feel_safe_to_conduct_audit,a1,lhs,12.9766364 77.6209941 820.85595703125 4.113,12.9766364,77.6209941,,no,,,yes,1767679710411.jpg,,,flowing,Continuous Flow,Clear,Transparent,Less Odor  I Am Able To Stand Near The S,1767679781096.jpg,,,Yes,Household  Mostly,Household  Mostly,Residential area,1767679818405.jpg,,No,No Waste,,,,no,Not Applicable,,,OK,643413788,50e5ffd4-5cf3-423c-b958-a84f6eea65dd,2026-01-06T08:56:16,yes,,submitted_via_web,,v7SmaFMH8rU4KU2dEZkh2P,,uuid:50e5ffd4-5cf3-423c-b958-a84f6eea65dd,C100,,Mod Foundation
2,18,2026-01-06T11:57:18.258+05:30,2026-01-06T12:01:32.340+05:30,,,yes__i_feel_safe_to_conduct_audit,a1,lhs,12.9777493 77.6212604 807.082275390625 4.671,12.9777493,77.6212604,,no,,,yes,1767680911822.jpg,,,flowing,Black Or Grey Water,Greenish,Opaque,No Odor,1767680978778.jpg,,,Yes,Household  Mostly,Household  Mostly,,1767681022975.jpg,,No,No Waste,,,,yes,Outdoor Gym,1767681087951.jpg,,OK,643413880,5c4d13a7-df76-4317-8a02-83926a3e177a,2026-01-06T08:56:21,yes,,submitted_via_web,,v7SmaFMH8rU4KU2dEZkh2P,,uuid:5c4d13a7-df76-4317-8a02-83926a3e177a,C100,,Mod Foundation
10,22,2026-01-10T11:45:18.218+05:30,2026-01-10T11:51:09.763+05:30,,,yes__i_feel_safe_to_conduct_audit,a1,rhs,12.9786279 77.6246821 821.7000122070312 5.0,12.9786279,77.6246821,,no,,,yes,1768025845218.jpg,,There is a parallel drain next to the SWD with stagnant water,flowing,Black Or Grey Water,Other Colour,Cloudy,No Odor,1768025953216.jpg,,,Yes,Construction Debris,Construction Debris,Illegal dumping ,1768025992388.jpg,,Yes,Construction Debris,Illegal dumping ,1768026045153.jpg,,no,Not Applicable,,,OK,645846975,be43a501-0ff1-48c3-93fb-2664f3d927ef,2026-01-10T06:21:20,yes,,submitted_via_web,,v7SmaFMH8rU4KU2dEZkh2P,,uuid:be43a501-0ff1-48c3-93fb-2664f3d927ef,C100,,Mod Foundation
14,20,2026-01-10T11:20:25.684+05:30,2026-01-10T11:27:38.893+05:30,,,yes__i_feel_safe_to_conduct_audit,a1,lhs,12.9783594 77.6228346 822.8999633789062 4.077,12.9783594,77.6228346,,no,,,yes,1768024420218.jpg,,"Stagnent water in few places,marshy growth, household waste dumping,birds ",flowing,Black Or Grey Water,Milky,Cloudy,Strong Smell Of Sewage  Unable To Sand N,1768024478990.jpg,,,Yes,Household  Mostly,Household  Mostly,"Household kitchen,pooja waste,plastic school bags , plastic sack ",1768024538232.jpg,,Yes,Commercial  Mostly,"Old used ladder, furniture waste,old unused cart, abandoned bike",1768024618318.jpg,,no,Idols,1768024651099.jpg,,OK,645856888,e4cd5f9d-da33-4787-b1ce-423945373f56,2026-01-10T06:33:12,yes,,submitted_via_web,,v7SmaFMH8rU4KU2dEZkh2P,,uuid:e4cd5f9d-da33-4787-b1ce-423945373f56,C100,,Mod Foundation
15,9,2026-01-10T11:30:43.829+05:30,2026-01-10T11:38:50.048+05:30,,,yes__i_feel_safe_to_conduct_audit,a1,lhs,12.9784979 77.6234677 822.0 4.0,12.9784979,77.6234677,,no,,,no,,,"Water stagnant,  dried tree branches and birds (cranes, crows)",stagnant,Black Or Grey Water,Black,Opaque,Strong Smell Of Sewage  Unable To Sand N,1768025100662.jpg,,,No,Household  Mostly,Household  Mostly,"Sewage outlets, household wastes and plastic",1768025182893.jpg,,Yes,Commercial  Mostly,Use bamboo ladders,1768025283123.jpg,,no,"Poster, Wall Mural",1768025321443.jpg,,OK,645856927,0b3cd482-3348-428c-b03c-f26b5f472712,2026-01-10T06:33:15,yes,,submitted_via_web,,v7SmaFMH8rU4KU2dEZkh2P,,uuid:0b3cd482-3348-428c-b03c-f26b5f472712,C100,,Mod Foundation
16,15,2026-01-10T11:51:01.868+05:30,2026-01-10T11:57:11.884+05:30,,,yes__i_feel_safe_to_conduct_audit,a1,lhs,12.9786804 77.6253115 820.2000122070312 4.8,12.9786804,77.6253115,,yes,1768026117758.jpg,,no,,,"Water flows on one edge, vegetation growth on half side of the drain, accumulation of azzola and solid waste accumulation",flowing,Black Or Grey Water,Milky,Cloudy,Less Odor  I Am Able To Stand Near The S,1768026307109.jpg,,,Yes,Commercial  Mostly,Commercial  Mostly,"Sand sacks, debris",1768026355244.jpg,,Yes,Mixed,Wood work,1768026396475.jpg,,no,Not Applicable,,,OK,645856976,dfde5274-937f-4223-94f6-5ecb3064eb07,2026-01-10T06:33:21,yes,,submitted_via_web,,v7SmaFMH8rU4KU2dEZkh2P,,uuid:dfde5274-937f-4223-94f6-5ecb3064eb07,C100,,Mod Foundation
20,10,2026-01-10T11:52:47.812+05:30,2026-01-10T12:01:01.256+05:30,,,yes__i_feel_safe_to_conduct_audit,a1,lhs,12.9786686 77.6259271 819.7999877929688 4.271,12.9786686,77.6259271,,no,,,yes,1768026385148.jpg,,Broken RCC wall covered with solid waste,flowing,Black Or Grey Water,Black,Cloudy,Less Odor  I Am Able To Stand Near The S,1768026491832.jpg,,,Yes,Mixed,Mixed,"Household, commercial ",1768026562007.jpg,,Yes,Construction Debris,Construction debris and household plastic ,1768026610826.jpg,,no,"Poster, Wall Mural",1768026655259.jpg,,OK,645869601,59a91f8b-3bb9-4cfd-9423-c68b253c65b7,2026-01-10T06:48:31,yes,,submitted_via_web,,v7SmaFMH8rU4KU2dEZkh2P,,uuid:59a91f8b-3bb9-4cfd-9423-c68b253c65b7,C100,,Mod Foundation
22,16,2026-01-10T12:00:05.325+05:30,2026-01-10T12:06:01.573+05:30,,,yes__i_feel_safe_to_conduct_audit,a1,rhs,12.9785631 77.6273153 819.2000122070312 4.768,12.9785631,77.6273153,,no,,,yes,1768026732641.jpg,,,flowing,Continuous Flow,Greenish,Transparent,Less Odor  I Am Able To Stand Near The S,1768026831976.jpg,,,Yes,Mixed,Mixed,Mostly construction and some household ,1768026891091.jpg,,Yes,Household  Mostly,Household and construction ,1768026929353.jpg,,no,Not Applicable,,,OK,645873041,00d1ce14-dd6b-44e0-b6e1-8834b5b63725,2026-01-10T06:53:00,yes,,submitted_via_web,,v7SmaFMH8rU4KU2dEZkh2P,,uuid:00d1ce14-dd6b-44e0-b6e1-8834b5b63725,C100,,Mod Foundation
23,23,2026-01-31T10:53:15.941+05:30,2026-01-31T11:03:34.488+05:30,,,yes__i_feel_safe_to_conduct_audit,a6,lhs,12.9151841 77.6437959 811.2000122070312 4.49,12.9151841,77.6437959,,no,,,no,,,,cannot_see,Cannot See,Cannot Say,Cannot Say,Less Odor  I Am Able To Stand Near The S,,,,Cannot See,,,,,,No,Mixed,"Leaves, construction",1769837566088.jpg,,no,Not Applicable,,,OK,660486394,bd04afcf-0c81-4f6c-a065-d45ad2207668,2026-01-31T05:34:33,yes,,submitted_via_web,,v7SmaFMH8rU4KU2dEZkh2P,,uuid:bd04afcf-0c81-4f6c-a065-d45ad2207668,K200,,Mod Foundation
